fleet,autobus_a,autobus_b,camioneta_a,camioneta_b,total_cost,avg_wait,median_wait,max_wait,avg_queue,max_queue,passengers_served,std_avg_wait,std_avg_queue,min_avg_wait,max_avg_wait
"1 Camioneta A, 1 Camioneta B",0,0,1,1,719.2,10.417815510884097,9.051648878559874,34.299166055590604,6.816699962084083,22.72,428.02,0.7377010193717783,0.4488518518003777,8.714808620901485,12.402330659331547
"1 Autobús A, 1 Camioneta B",1,0,0,1,840.6,11.65808597082203,10.3395547644721,40.099562319991435,7.974140034461457,23.04,423.92,1.1308331265035605,0.5330615751749703,9.906880819526595,16.750982378225494
"1 Autobús B, 1 Camioneta A, 1 Camioneta B",0,1,1,1,974.8,9.298628211469005,7.996062020196036,32.304527400854546,5.718659516110172,21.36,426.68,0.7015032475730325,0.3243695454686437,7.910113276276626,10.878699428538944
"1 Camioneta A, 2 Camioneta B",0,0,1,2,1091.2,7.8961263456619255,6.288778372354946,32.48194619437892,4.328636481863158,19.42,428.12,0.585304648299008,0.24850792854740192,6.602004930182173,8.873580982285464
"1 Autobús A, 1 Autobús B, 1 Camioneta B",1,1,0,1,1096.2,10.54112880669571,8.836624458412064,41.9311865626753,6.62208386325537,22.58,425.08,1.1447727830656622,0.5235390736169604,8.929126796163352,14.025608595685242
"1 Autobús A, 1 Camioneta A, 1 Camioneta B",1,0,1,1,1187.8,8.231029770969744,6.842402270987008,30.72764905063831,5.079965491925558,19.32,429.86,0.7061865767982419,0.27994720432857373,6.835182407633674,10.087546803984516
"1 Autobús A, 2 Camioneta B",1,0,0,2,1212.6,8.29781699466452,6.62314880287985,32.89140886634558,4.710747979037041,19.4,421.26,0.767621931991079,0.24891695093811372,6.950094020981219,10.784490233402424
"2 Autobús B, 1 Camioneta A, 1 Camioneta B",0,2,1,1,1230.4,8.741219853386008,7.240560921808235,32.5795426680559,4.960303848965125,22.3,421.96,0.6059696886721223,0.292596399025689,7.70856926115467,10.010916977636628
"1 Autobús B, 1 Camioneta A, 2 Camioneta B",0,1,1,2,1346.8,7.291983464365092,5.732381421663032,32.80600351529804,3.872910256546654,18.98,424.88,0.6660873726282436,0.18804005028487772,6.2687590043879995,8.797456922031431
"1 Autobús A, 2 Autobús B, 1 Camioneta B",1,2,0,1,1351.8000000000002,9.62140823944598,7.966387008284102,39.26644512269721,5.5493809576573,20.82,423.22,0.9866415634616209,0.3336592166222766,7.51165923140921,12.62665395332289
